id_participacao,id_jogador,id_selecao,ano_copa,linha_campo,posicao_especifica,clube_no_ano,capitao,clube_pais,lado_campo,titular,gols_na_copa,expulso_ou_suspenso,artilheiro_destaque,faixa_etaria
1,1,1,1930,Atacante,Centroavante,Flamengo / Santos,Não,Brasil,Centro,Sim,0,Não,Não,Auge
2,2,1,1930,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Direito,Sim,0,Não,Não,Auge
3,3,1,1930,Atacante,Centroavante,Botafogo,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
4,4,1,1930,Atacante,Ponta,São Cristóvão,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
5,5,1,1930,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Centro,Sim,0,Não,Não,Auge
6,6,1,1930,Meio-campista,Meio-campista,Fluminense,Não,Brasil,Direito,Sim,0,Não,Não,Auge
7,7,1,1930,Meio-campista,Meio-campista,Fluminense,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
8,8,1,1930,Meio-campista,Meio-campista,América-RJ,Não,Brasil,Direito,Sim,0,Não,Não,Sub-23
9,9,1,1930,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
10,10,1,1930,Meio-campista,Meio-campista,Fluminense,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
11,11,1,1930,Goleiro,Goleiro,América-RJ,Não,Brasil,Centro,Sim,0,Não,Não,Auge
12,12,1,1930,Atacante,Atacante,Ypiranga de Niterói,Não,Brasil,Direito,Não,0,Não,Não,Auge
13,13,1,1930,Atacante,Ponta,Flamengo,Não,Brasil,Direito,Sim,2,Não,Não,Auge
14,14,1,1930,Atacante,Atacante,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
15,15,1,1930,Defensor,Zagueiro,Ypiranga de Niterói,Não,Brasil,Centro,Não,0,Não,Não,Auge
16,16,1,1930,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
17,17,1,1930,Atacante,Ponta,Americano de Campos,Não,Brasil,Direito,Sim,0,Não,Não,Sub-23
18,18,1,1930,Atacante,Centroavante,Fluminense,Sim,Brasil,Centro,Sim,3,Não,Sim,Auge
19,19,1,1930,Atacante,Centroavante,Vasco da Gama,Não,Brasil,Centro,Sim,0,Não,Não,Auge
20,20,1,1930,Atacante,Atacante,São Cristóvão,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
21,21,1,1930,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
22,22,1,1930,Defensor,Zagueiro,São Cristóvão,Não,Brasil,Direito,Sim,0,Não,Não,Auge
23,23,1,1930,Atacante,Ponta,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
24,24,1,1930,Meio-campista,Meio-campista,Flamengo,Não,Brasil,Centro,Não,0,Não,Não,Auge
25,25,1,1934,Goleiro,Goleiro,Botafogo,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
26,26,1,1934,Goleiro,Goleiro,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Auge
27,27,1,1934,Defensor,Zagueiro,Botafogo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
28,28,1,1934,Defensor,Zagueiro,Americano-RS,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
29,29,1,1934,Defensor,Zagueiro,Botafogo,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
30,30,1,1934,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
31,31,1,1934,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
32,32,1,1934,Meio-campista,Meio-campista,Botafogo,Sim,Brasil,Centro,Sim,0,Não,Não,Auge
33,33,1,1934,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Centro,Não,0,Não,Não,Experiente
34,34,1,1934,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Direito,Não,0,Não,Não,Sub-23
35,35,1,1934,Atacante,Atacante,São Paulo da Floresta,Não,Brasil,Centro,Sim,0,Não,Não,Auge
36,3,1,1934,Atacante,Centroavante,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
37,36,1,1934,Atacante,Centroavante,Vasco da Gama,Não,Brasil,Centro,Sim,1,Não,Sim,Sub-23
38,37,1,1934,Atacante,Atacante,São Paulo da Floresta,Não,Brasil,Direito,Sim,0,Não,Não,Auge
39,38,1,1934,Atacante,Ponta,Nacional (Uruguai),Não,Uruguai,Esquerdo,Sim,0,Não,Não,Auge
40,39,1,1934,Atacante,Centroavante,São Paulo da Floresta,Não,Brasil,Direito,Sim,0,Não,Não,Sub-23
41,40,1,1934,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Auge
42,41,1,1938,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Sim,0,Sim,Não,Auge
43,42,1,1938,Goleiro,Goleiro,Flamengo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
44,43,1,1938,Defensor,Zagueiro,Flamengo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
45,44,1,1938,Defensor,Zagueiro,Fluminense,Não,Brasil,Esquerdo,Sim,0,Sim,Não,Auge
46,45,1,1938,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
47,46,1,1938,Defensor,Zagueiro,Botafogo,Não,Brasil,Direito,Não,0,Não,Não,Auge
48,47,1,1938,Meio-campista,Meio-campista,São Cristóvão,Não,Brasil,Centro,Não,0,Não,Não,Auge
49,48,1,1938,Meio-campista,Meio-campista,Portuguesa Santista,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
